Jahr,Unter20,Ãœber65,20bis65,AGS
2020,109.68,113.716,421.919,8111
2021,109.892,114.218,423.461,8111
2020,78.538,80.109,236.644,8115
2021,78.881,81.539,236.339,8115
2020,101.883,111.712,325.572,8116
2021,102.181,113.129,325.56,8116
2020,48.781,56.792,153.364,8117
2021,48.866,57.596,153.158,8117
2020,107.906,110.998,331.379,8118
2021,108.261,112.813,331.152,8118
2020,81.716,92.01,256.251,8119
2021,81.844,93.365,256.064,8119
2020,24.742,25.178,76.521,8121
2021,24.897,25.447,76.404,8121
2020,67.335,69.096,209.145,8125
2021,67.499,70.689,208.767,8125
2020,21.97,22.727,68.206,8126
2021,22.046,23.29,68.005,8126
2020,39.01,39.705,118.074,8127
2021,39.095,40.73,117.62,8127
2020,24.599,30.816,78.261,8128
2021,24.69,31.344,78.031,8128
2020,25.673,29.73,78.103,8135
2021,25.777,30.083,78.035,8135
2020,60.742,66.791,188.411,8136
2021,60.809,67.975,188.051,8136
2020,8.924,14.664,31.375,8211
2021,8.935,14.813,31.27,8211
2020,52.722,58.773,210.673,8212
2021,53.06,59.332,211.748,8212
2020,83.542,96.97,267.188,8215
2021,83.942,98.568,266.47,8215
2020,42.586,51.469,138.547,8216
2021,42.671,52.367,138.174,8216
2020,27.858,27.061,109.796,8221
2021,28.407,27.42,109.606,8221
2020,56.001,58.692,202.533,8222
2021,56.528,59.425,202.945,8222
2020,26.673,32.334,85.988,8225
2021,26.766,33.098,85.513,8225
2020,104.295,121.098,327.79,8226
2021,104.753,123.141,326.902,8226
2020,24.812,25.798,74.9,8231
2021,24.945,26.142,74.722,8231
2020,30.598,34.401,94.404,8235
2021,30.586,35.11,94.253,8235
2020,38.24,43.306,118.865,8236
2021,38.205,43.997,118.715,8236
2020,22.76,25.321,70.518,8237
2021,22.71,25.802,70.374,8237
2020,43.118,39.219,152.843,8311
2021,43.438,39.865,152.989,8311
2020,50.936,58.966,154.843,8315
2021,50.933,59.919,154.437,8315
2020,31.898,36.027,98.257,8316
2021,31.878,36.745,97.882,8316
2020,82.424,92.446,255.175,8317
2021,82.373,94.07,254.62,8317
2020,27.436,30.456,82.608,8325
2021,27.418,30.982,82.456,8325
2020,39.745,48.277,124.856,8326
2021,39.926,48.993,124.356,8326
2020,28.762,28.49,83.698,8327
2021,28.789,28.935,83.631,8327
2020,53.004,60.77,174.164,8335
2021,53.12,61.554,174.086,8335
2020,44.967,48.113,137.964,8336
2021,45.018,48.915,137.773,8336
2020,33.919,37.354,100.63,8337
2021,33.877,38.078,100.401,8337
2020,55.467,60.475,172.581,8415
2021,55.599,61.463,172.17,8415
2020,44.17,41.098,144.9,8416
2021,44.377,42.136,144.612,8416
2020,35.196,42.675,112.041,8417
2021,35.35,43.291,111.74,8417
2020,23.976,23.765,81.814,8421
2021,24.121,24.035,82.145,8421
2020,39.624,39.337,118.167,8425
2021,39.676,40.187,117.947,8425
2020,41.476,38.909,120.722,8426
2021,41.559,39.821,120.458,8426
2020,40.348,49.563,126.637,8435
2021,40.311,50.212,126.459,8435
2020,56.464,58.085,172.557,8436
2021,56.517,59.122,172.422,8436
2020,25.482,27.6,78.546,8437
2021,25.533,28.099,78.318,8437
